time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
5595304,-50.17,-50.17,-50.17,-50.17
5623725,-50.12,-50.12,-50.12,-50.12
5658666,-50.44,-50.44,-50.44,-50.44
5690922,-50.29,-50.29,-50.29,-50.29
5753819,-50.07,-50.08,-50.08,-50.07
5776166,-50.17,-50.17,-50.17,-50.17
5719668,-50.24,-50.24,-50.24,-50.24
5962317,-50.11,-50.11,-50.11,-50.11
6019688,-50.13,-50.13,-50.13,-50.13
6035772,-50.03,-50.03,-50.03,-50.02
