time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
5122739,50.26,50.26,50.27,49.95
5176470,50.21,50.22,50.21,49.96
5386994,49.74,49.74,49.74,49.72
5610840,49.81,49.82,49.81,49.62
5635642,49.84,49.85,49.85,49.69
5765657,49.97,49.97,49.98,49.92
5785581,50.10,50.11,50.11,50.02
5809268,49.96,49.97,49.97,49.94
5831408,50.11,50.11,50.11,50.10
5703360,49.93,49.94,49.94,49.87
