time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
4475639,50.94,50.94,50.94,50.94
4517642,50.95,50.96,50.96,50.96
4556704,50.95,50.95,50.95,50.95
4593509,50.84,50.84,50.84,50.84
4635214,50.84,50.85,50.85,50.85
4682268,50.89,50.90,50.89,50.89
4736566,50.98,50.98,50.98,50.98
4775739,50.81,50.81,50.81,50.81
4816382,50.83,50.84,50.83,50.83
4856725,50.78,50.78,50.78,50.78
