time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
943281,50.76,50.76,50.76,50.76
966568,50.90,50.89,50.90,50.90
1070352,50.85,50.85,50.85,50.85
1131177,50.80,50.80,50.80,50.80
1189678,50.81,50.81,50.81,50.81
1232774,50.69,50.70,50.70,50.70
1262593,50.74,50.75,50.75,50.74
1311185,50.63,50.63,50.63,50.63
1375567,50.82,50.82,50.82,50.82
1425879,50.74,50.74,50.74,50.74
