time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
6282089,50.91,50.92,50.92,50.92
6333505,50.86,50.87,50.87,50.87
6386653,50.81,50.81,50.81,50.81
6454806,50.85,50.85,50.85,50.85
6559146,50.89,50.89,50.89,50.89
6621083,50.91,50.91,50.91,50.91
6664889,50.88,50.88,50.88,50.88
6717747,50.94,50.94,50.94,50.94
6765022,50.92,50.92,50.92,50.92
6823301,50.94,50.94,50.94,50.94
