time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
4054855,-49.95,-49.95,-49.95,-49.95
4129109,-49.99,-49.99,-49.99,-49.99
4202920,-49.98,-49.99,-49.99,-49.99
4271496,-49.95,-49.95,-49.95,-49.95
4343988,-49.89,-49.89,-49.89,-49.89
4496971,-50.01,-50.01,-50.01,-50.01
4553442,-49.95,-49.94,-49.94,-49.95
4635140,-49.96,-49.96,-49.96,-49.96
4686290,-49.94,-49.95,-49.95,-49.95
4789041,-49.86,-49.86,-49.86,-49.86
4845522,-49.92,-49.92,-49.92,-49.92
5011561,-50.06,-50.06,-50.06,-50.05
