time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
839052,-49.65,-49.66,-49.65,-49.65
856108,-49.75,-49.76,-49.75,-49.75
876130,-49.65,-49.64,-49.65,-49.65
1180910,-49.71,-49.72,-49.71,-49.71
1510381,-49.68,-49.69,-49.68,-49.68
1528709,-49.70,-49.70,-49.70,-49.70
1684314,-49.65,-49.64,-49.65,-49.65
1780505,-49.79,-49.77,-49.79,-49.79
2078290,-49.61,-49.60,-49.61,-49.61
2115718,-49.68,-49.68,-49.68,-49.68
