time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
5448093,49.92,49.93,49.92,49.93
5502034,49.93,49.93,49.93,49.93
5554899,49.90,49.90,49.90,49.91
5605801,49.90,49.91,49.91,49.91
5695637,50.06,50.06,50.06,50.06
6943524,50.07,50.07,50.07,50.07
6983254,49.96,49.97,49.97,49.97
7020638,50.00,50.00,50.00,50.00
7068250,50.00,50.00,50.00,50.00
7108357,50.00,50.01,50.01,50.01
7147578,49.94,49.94,49.94,49.94
7270795,50.05,50.04,50.05,50.05
