time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
3148861,49.62,49.62,49.62,48.94
3165460,49.64,49.64,49.65,48.99
3183189,49.53,49.53,49.53,49.33
3203819,49.58,49.58,49.57,49.56
3225847,49.60,49.60,49.60,49.55
3250632,49.49,49.51,49.51,49.17
3267884,49.58,49.58,49.58,49.57
3334609,49.64,49.65,49.64,49.62
3347494,49.57,49.58,49.58,49.56
3368397,49.61,49.62,49.61,49.57
