time,rotary_enc,esp32_enc_sing,esp32_enc_half,esp32_enc_full
5198515,-50.02,-50.02,-50.02,-50.02
5613131,-50.08,-50.08,-50.08,-50.08
5759294,-49.99,-49.99,-49.99,-49.99
5903371,-49.96,-49.96,-49.95,-49.95
6188528,-50.06,-50.06,-50.06,-50.06
6786797,-50.01,-50.01,-50.02,-50.02
7086570,-49.97,-49.97,-49.96,-49.96
7205728,-50.06,-50.06,-50.06,-50.06
7327035,-50.02,-50.02,-50.02,-50.02
7440583,-49.94,-49.94,-49.94,-49.94
